OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Full Address,Latitude,Longitude
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,"TCH-16, Edmonton",53.278096,-110.0054503
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,"TCH-16, Edmonton",53.278096,-110.0054503
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,"I-5, EXIT 233 E, Albany",44.6365107,-123.1059282
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,"I-40, EXIT 126 & US-641, Holladay",35.8437337,-88.0797805
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,"I-40 & I-75, EXIT 374, Knoxville",35.9529526,-83.97852979999999
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,"HWY 2 SOUTH, Nanton",50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,"HWY 2 SOUTH, Nanton",50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,"HWY 2 SOUTH, Nanton",50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,"HWY 2 SOUTH, Nanton",50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,"HWY 2 SOUTH, Nanton",50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,"HWY 2 SOUTH, Nanton",50.3475392,-113.7730599
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,"I-10,  EXIT 4, Canutillo",30.5279928,-99.852776
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,"I-295/US-130,EXIT 22, Thorofare",39.8599391,-75.1557973
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,"I-29, EXIT 207 & US-12, Summit",44.0600145,-96.758754
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,"I-86/SR-17, EXIT 16, Randolph",42.0002243,-76.52970599999999
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,"I-235, EXIT 4, Wichita",37.6772357,-97.4022559
692,BP,US-63,Ottumwa,IA,489,3.399,"US-63, Ottumwa",41.0289786,-92.3796768
739,Arco #364420,US-23,Greenup,KY,255,3.649,"US-23, Greenup",38.5702942,-82.83365
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,"US-85, Evans",40.2435312,-104.8189157
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,"US-61/US-136, Alexandria",40.3643325,-91.4690832
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,"US-18/SR-151, EXIT 58, Barneveld",43.0101447,-89.8965463
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,"US-41 & SR-137, North Chicago",42.3086164,-87.8769927
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,"US-41 & SR-137, North Chicago",42.3086164,-87.8769927
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,"US-41 & SR-137, North Chicago",42.3086164,-87.8769927
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,"US-301/SR-73, Sylvania",32.767122,-81.63746139999999
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,"I-40, EXIT 280, West Memphis",35.1676057,-90.202025
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,"I-40, EXIT 280, West Memphis",35.1676057,-90.202025
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,"I-65, EXIT 246 & SR-119, Pelham",33.2856687,-86.8099885
